0,1,2,3,4,5,6,7,8,9
            ,,,,,,,,,
            恭喜啊,,                        ,        ,        ,,,,,
            各位姐妹在治疗方面有问题可以问我哈,,                        ,        ,        ,,,,,
            之前无意发现下体长了颗粒状的东西，去医院检查居然是尖锐湿疣，从来没想过会得这个病,,                        ,        ,        ,,,,,
            去医院做了激光手术去除了疣体,,                        ,        ,        ,,,,,
            是几次激光做的,,                        ,        ,        ,,,,,
            亲，建议去除疣体后还是需要做防复发抗病毒治疗哦，尖锐湿疣复发率非常高的，一定要重视哦,,                        ,        ,        ,,,,,
            恭喜,,                        ,        ,        ,,,,,
            怎么治的？,,                        ,        ,        ,,,,,
            亲，你是做的激光去除，还是做的光动力啊，中间过程痛吗？男朋友下面有小红点不知道是不是尖锐湿疣，不知道怎么办了，哎。,,                        ,        ,        ,,,,,
            恭喜！,,,,,,,,,
            ,,,,,,,,,
            恭喜,,                        ,        ,        ,,,,,
            请问会不会传染到口腔里,,                        ,        ,        ,,,,,
            从查出病毒到现在 没有一天睡好的 活检结果出来了 cIN1 有没有了解的亲呀 可以不做手术吗 保守治疗可以吗,,                        ,        ,        ,,,,,
            你的TCT没问题，活检是轻度病变吗？,,                        ,        ,        ,,,,,
            私聊吧,,                        ,        ,        ,,,,,
            对呀 TCT是正常的 不知道怎么活检就是cin1了 哎,,                        ,        ,        ,,,,,
            轻度病变应该可以保守治疗的,,                        ,        ,        ,,,,,
            ,,,,,,,,,
            我老婆检查的结果和你一样，心烦了,,                        ,        ,        ,,,,,
            楼主看到留言私聊发个微信号给我，谢谢,,                        ,        ,        ,,,,,
            今天拿到报告，现在都睡不着，哎,,                        ,        ,        ,,,,,
            谁能帮我解答下hpv81＋cin1,,                        ,        ,        ,,,,,
"            可以转阴的，心态很关键，提高免疫力,我就是的已经转阴两年了。",,                        ,        ,        ,,,,,
            你可以保守治疗的，用药，，塞药， 不过一般病变1，病变2，都会才用手术的，，,,                        ,        ,        ,,,,,
            我打了半年干扰素，没在复发过,,                        ,        ,        ,,,,,
            听我的不用看，半年以后复查。,,                        ,        ,        ,,,,,
            可以用药治疗，把三筛查项目做了,,                        ,        ,        ,,,,,
            HPV阳性，用药了，但是感觉不舒服怎么办，本来打算要二胎的，这不好也不太敢要二胎,,,,,,,,,
            53转阴快的,,                        ,        ,        ,,,,,
            一样的啊，我是年前刚转阴，吃的高吉星蛋白硒，因为过年这情况，年前复查一次，到现在还没有再去复查呢,,                        ,        ,        ,,,,,
            等好了再要二胎,,                        ,        ,        ,,,,,
            ε=(´ο｀*)))唉,,                        ,        ,        ,,,,,
            还是先治疗好再考虑二胎，避免交叉感染,,                        ,        ,        ,,,,,
            还是好了转阴了再要孩子吧,,                        ,        ,        ,,,,,
            您现在是单纯感染，尽早治疗，建议康复之后再要宝宝,,                        ,        ,        ,,,,,
            转阴再要宝宝吧,,                        ,        ,        ,,,,,
            主要提高免疫力，我也好了，加油,,                        ,        ,        ,,,,,
            别着急要宝宝啊,,                        ,        ,        ,,,,,
            好了再怀孕，我也已经调理好了，才打算,,                        ,        ,        ,,,,,
            不着急要，问问医生,,                        ,        ,        ,,,,,
            用的什么药物，有什么不舒服，咨询医生就可以了，53是可以转阴的，不要担心，心情也很重要,,                        ,        ,        ,,,,,
            咨询医生吧,,                        ,        ,        ,,,,,
            得了HPV怎么办？有办法调理转阴吗？姐妹们说一说吧,,                        ,        ,        ,,,,,
            我就转阴了，亲不妨私聊,,                        ,        ,        ,,,,,
,,,,,,,,,
            一个姐姐跟我说她吃高吉星蛋白硒转阴的，我刚开始吃，希望早点好,,                        ,        ,        ,,,,,
            增强免疫力，使用皮肤粘膜病毒灭活液进行灭杀病毒，很快就转阴，抑菌液千万别用，没效果,,                        ,        ,        ,,,,,
            要直接灭杀HPV病毒的产品就必须满足二个条件：,一、具有灭活病毒的功效；,二、可用于皮肤黏膜的消毒液。,按照国家“消毒技术规范”的规定，消杀产品必须通过脊髓灰质炎病毒的灭活检测才能证明产品的效力。能灭活脊髓灰质炎病毒的产品才能灭杀HPV病毒。,,,,,,
            我对象吃的高吉星蛋白硒好的，当时有活动给她买的，现在应该也在搞活动，好像是无效故退款,,                        ,        ,        ,,,,,
            都是买药的,,                        ,        ,        ,,,,,
            很好调理的,,                        ,        ,        ,,,,,
            可以的，女人用私护排排毒,,                        ,        ,        ,,,,,
            锻炼身体，注意休息,,                        ,        ,        ,,,,,
            可以的，我的低危病变都好了,,                        ,        ,        ,,,,,
            我的不是很严重，是低危，只要用对药，治疗是很快好的,,                        ,        ,        ,,,,,
            找我呀 三个月转阴,,,,,,,,,
            其实这个调理很容易的，和个人体质也有较大的关系,,                        ,        ,        ,,,,,
            今天做阴道镜不过关，又做了活检，我简直要崩溃了，钥如果病变了该怎么办,,                        ,        ,        ,,,,,
            没事的，,,                        ,        ,        ,,,,,
            我是66，活检只要没恶性病变，就没事，用用药就可以，,,                        ,        ,        ,,,,,
            我也非常担心。,,                        ,        ,        ,,,,,
            没事，加油,,                        ,        ,        ,,,,,
            我是hpv 51 58活检后高危病变2累腺，明天做冷刀手术然后昨天做术前检查重新做hpv 定量居然全部阴性，医生问我之前用药没得我说用了两盒浮舒达最便宜的药。,,                        ,        ,,,,,,
            阴道镜结果是什么？,,                        ,        ,        ,,,,,
            没事的，还没出来呢，是可以通过提高免疫力好的，不要太担心。,,                        ,        ,        ,,,,,
,,,,,,,,,
            等结果。,,                        ,        ,        ,,,,,
            活检出来了，没有病变，感谢各位的鼓励，炎症还是好重，我先用药治疗两个月没有好转就手术，,,                        ,        ,        ,,,,,
            活检好痛苦的，要在身上取块肉下来，楼主现在是感染的多少型。,,                        ,        ,        ,,,,,
            用盐酸左旋米唑搽剂试试,,                        ,        ,        ,,,,,
            现在怎么样了亲。活检后什么结果？我刚做。也在等结果，特别闹心！,,                        ,        ,        ,,,,,
            在吗？我也刚做了活检，做完5分钟左右突然感觉恶心头晕，浑身无力，冒冷汗，那会儿感觉好痛苦，我也在等活检结果，可以加微信咨询一下吗😭,,                        ,        ,        ,,,,,
            请问有感染了hpv的友人打了新冠疫苗吗？有没有什么不良反应？,,                        ,        ,        ,,,,,
            dd,,                        ,        ,        ,,,,,
            顶一下,,                        ,        ,        ,,,,,
            求打过的回复,,                        ,        ,        ,,,,,
            还是说不能打？,,                        ,        ,        ,,,,,
            这应该没事的,,                        ,        ,        ,,,,,
            还没好怎么办,,                        ,        ,        ,,,,,
            今天刚打没事,,                        ,        ,        ,,,,,
            ,,                        ,        ,        ,,,,,
            hpv阳性，tct炎症，，,,                        ,        ,        ,,,,,
            平时温水冲洗没什么可怕的。,,                        ,        ,        ,,,,,
            提高免疫力，跑步，瑜伽锻炼都是可以的，多吃蔬菜水果，坚果，五谷，豆类，少吃辣，，饮食规律。,,                        ,        ,        ,,,,,
            高吉星补硒片可以的，我朋友就是这样，现在已经转阴了。,,                        ,        ,        ,,,,,
            姐妹是什么型号啊？,,                        ,        ,        ,,,,,
            16治病性强，每3到6个月做好随诊，平时吃饭多样性，睡好 适度锻炼，心情愉快,,                        ,        ,        ,,,,,
            做阴道镜了吗？16，18。不管TCT正常不正常一定做阴道镜,,                        ,        ,        ,,,,,
            不要乱吃，补品，乱听网上的，听医生的，大医院,,                        ,        ,        ,,,,,
            直接就让打了疫苗，我问怎么没转阴就让打，医生说防止其他变阳性，,,                        ,        ,        ,,,,,
            你们有这种情况吗,,                        ,        ,        ,,,,,
            我和你一样，18，TCT好的，阴道镜也是好的，但医生没叫做活检，做了p16ki67免疫组化，也是好的，就开了辛复宁,,                        ,        ,        ,,,,,
            转阴才可以打疫苗吧,,                        ,        ,        ,,,,,
            你开了什么药啊,,                        ,        ,        ,,,,,
            妇科草加小金牛可转阴,,                        ,        ,        ,,,,,
            私密你啦,,                        ,        ,        ,,,,,
            hpv感染使用段芝堂hpv克星，加上自己锻炼成功转阴,,                        ,        ,        ,,,,,
            可用半枝莲膏。北京大学滨海医院科研,,                        ,        ,        ,,,,,
            楼主，我也是18阳，怎么治疗的,,                        ,        ,        ,,,,,
            楼主，我也是18阳，怎么治疗的,,                        ,        ,        ,,,,,
            目前用半支莲膏好，北京大学科研成果。一周2次3月转阴。中国人民保险担保,,                        ,        ,        ,,,,,
            HPV：51，56阳性,,TCT：鳞状上皮低度病变,,阴道镜：慢性宫颈炎,,活检结果：宫颈慢性炎症伴挖空细胞形成,,,
            一般都是中药，或者提高免疫力，平时用点凝胶保养下,,                        ,        ,        ,,,,,
            没有特效药，主要是自身免疫力，合理饮食  睡眠 运动 心情 不要熬夜，我也是56型，快复查了,,                        ,        ,        ,,,,,
            任何药物都不能清楚病毒 除了提高自身免疫力,,                        ,        ,        ,,,,,
            提高免疫力就行 可以多补充高硒生育酚,,                        ,        ,        ,,,,,
            我也是低度，医生建议我LEEP刀，我拒绝了，后面推荐瑞贝生，一个疗程7盒5500…………,,                        ,        ,        ,,,,,
            你这俩型号都是高危型的，赶紧治疗吧，都低度病变了，我朋友以前也感染过这个病的，她是用了一个叫段芝堂hpv克星的治好的，你可以试试,,                        ,        ,        ,,,,,
            医生说了提高免疫力最重要了，我也是食疗提升自己免疫力转阴了,,                        ,        ,        ,,,,,
            目前用半枝蓮好。北京大學科研成果，半枝蓮一週一次，3月轉陰。,,                        ,        ,        ,,,,,
,,,,,,,,,
            楼主，请问你就是保妇康治好的吗？,,                        ,        ,        ,,,,,
            其实这个现在还没有特效药，关键还是要提高自身免疫力，我之前的高危也是通过调理提高免疫力转阴的！加油吧姐妹！,,                        ,        ,        ,,,,,
            hpv16 52 伴一级病变目前转阴 之前用过干扰素也别干 就果断换药了,,                        ,        ,        ,,,,,
            hpv16、52一级病变，已转阴小半年了，坚持治了9个月，从病变消失到逐渐转阴 真的太不容易！相互鼓励吧！,,                        ,        ,        ,,,,,
            我也是51和56，生完孩子查出来的，今年四月份，现在还不敢去查有没有转阴,,                        ,        ,        ,,,,,
            HPV有没有什么快速的治疗方案,,                        ,        ,        ,,,,,
            我整整用了3个月。要想快速锥切，他们说锥切会导致习惯性流产,,                        ,        ,        ,,,,,
            医院也没有特效药，我朋友得这了病是用了一个叫段芝堂hpv克星治好的，用了几个月吧，也没复发,,                        ,        ,        ,,,,,
,,,,,,,,,
            hpv目前没有特效药，可以通过不断增强自身勉励去抵制，坚持锻炼身体。你可以试试姬松茸富硒蛋白，之前有个认识的是阳性16，医生给开的转阴了,,                        ,        ,        ,,,,,
            我也想知道,,                        ,        ,        ,,,,,
            有人有妇科，性病，尖锐湿疣，HPV高低危病毒去医院花很多钱都还没有医好的吗？求医热线13691979659 （微信同号）,,                        ,        ,        ,,,,,
,,,,,,,,,
            HPV高低危病毒我有办法帮医好转阴的,,                        ,        ,        ,,,,,
            安全的就是干扰素加凝胶我是4个月才转阴的，快的就不知道了,,                        ,        ,        ,,,,,
            hpv感染用半支莲膏好 ，北京大学科研成果。半枝莲膏中国人民保险担保。,,,,,,,,,
            有什么好办法吗,,                        ,        ,        ,,,,,
            半支莲膏很好。一周2次3月转阴,,                        ,        ,        ,,,,,
            我体检查出hpv58，tct正常，请问有吃什么药物转阴的吗？可以给下建议吗?现在好害怕,,,,,,,,,
            医生怎么说？,,                        ,        ,        ,,,,,
            现在好害怕啊,,                        ,        ,        ,,,,,
            我也是58 最难缠的就是5852  还好转阴了,,                        ,        ,        ,,,,,
            可以调理,,                        ,        ,        ,,,,,
            谢谢,,                        ,        ,        ,,,,,
            规律用药，多锻炼增强免疫力，58没那么恐怖，我转阴之前是一个58一个低危,,                        ,        ,        ,,,,,
            岁数小没事,,                        ,        ,        ,,,,,
            谢谢,,                        ,        ,        ,,,,,
            我之前也是高危58，59后面久转阴了,,                        ,        ,        ,,,,,
            我也是58 过两天去活检,,                        ,        ,        ,,,,,
            没有特效药  市面上的干扰素是不治疗hpv病毒的,,                        ,        ,        ,,,,,
            有53的吗 用活检吗,,                        ,        ,        ,,,,,
            tct正常不用活检,,                        ,        ,        ,,,,,
            用半枝莲膏好北京大学滨海医院科研,,                        ,        ,        ,,,,,
            ,,                        ,        ,        ,,,,,
            我好了，半jia出,,                        ,        ,        ,,,,,
            这都是之前用过的,,,,,,,,,
            ,,,,,,,,,
            那个干扰素胶囊有三盒，还挺贵的88一盒,,,,,,,,,
            。,,                        ,        ,        ,,,,,
            。,,                        ,        ,        ,,,,,
            用半枝莲膏好北京大学科研成果,,                        ,        ,        ,,,,,
            只用药吗  做激光了吗,,                        ,        ,        ,,,,,
            没长过,,                        ,        ,        ,,,,,
            无论是预防HPV感染还是帮助HPV尽快转阴，增强免疫力都是必要的。欣维安姬松茸富硒蛋白可以调节体内免疫因子的分泌，可达到快速提高免疫力的效果,,                        ,        ,        ,,,,,
            多吃牛肉鱼肉鸡肉，补充蛋白质，然后每天早睡早起，一定要多运动，每天跑跑步做做操，我就是这样的，平时每天吃一些欣维安姬松茸，提高提高免疫力,,                        ,        ,        ,,,,,
            ，,,                        ,        ,        ,,,,,
            。,,                        ,        ,        ,,,,,
            。,,                        ,        ,        ,,,,,
            你们都是戴套传染的？还是没戴套呢？戴套传染的可能性大吗？,,                        ,        ,        ,,,,,
            真心问,,                        ,        ,        ,,,,,
            dd,,                        ,        ,        ,,,,,
,,,,,,,,,
            你用的什么？,,                        ,        ,        ,,,,,
            转阴了会复发嘛？,,                        ,        ,        ,,,,,
            hpv是怎么引起的，男的要治疗嘛？,,                        ,        ,        ,,,,,
            平时有什么需要注意的嘛,,                        ,        ,        ,,,,,
            怎么加你，亲,,                        ,        ,        ,,,,,
            用对了，hpv转阴不难,,                        ,        ,        ,,,,,
            hpv感染用半枝莲膏好。北京大学滨海医院科研,,                        ,        ,        ,,,,,
            楼主，你用了什么中药？私发给我，好吗？我今天也看了中医，医生怎么给我开了调养肝脾胃的药？！我明明告诉她希望hpv转阴的调理中药。🙏🙏🙏,,                        ,        ,        ,,,,,
            楼主男人怎么治疗,,                        ,        ,        ,,,,,
            加你了,,                        ,        ,        ,,,,,
            楼主加你了,,                        ,        ,        ,,,,,
            怎么用啊？,,                        ,        ,        ,,,,,
            有问题的可以丝我,,                        ,        ,        ,,,,,
            直接留言hpv型号,,                        ,        ,        ,,,,,
            Hk直邮，6300米3针！,,                        ,        ,        ,,,,,
            多人有优惠，欢迎骚扰！,,                        ,        ,        ,,,,,
            Michelleyoung168,,                        ,        ,        ,,,,,
            不用排队，医生上门直打,,                        ,        ,        ,,,,,
            1,,                        ,        ,        ,,,,,
            多少米,,                        ,        ,        ,,,,,
            有群可以近吗,,                        ,        ,        ,,,,,
            1,,                        ,        ,        ,,,,,
            1,,                        ,        ,        ,,,,,
            1,,                        ,        ,        ,,,,,
            1,,                        ,        ,        ,,,,,
            ,,                        ,        ,        ,,,,,
            顶,,                        ,        ,        ,,,,,
            有人吗,,                        ,        ,        ,,,,,
            hpv低危就一个e6这个严重吗，在一个小医院看的，他给我查的说病毒60多万，怎么得，花1万多了，真的这么难治吗,,                        ,        ,        ,,,,,
            低危的容易长疣体的，我朋友得过这个病的，她是用了一个叫段芝堂hpv克星的治好的,,                        ,        ,        ,,,,,
            你被坑了,,                        ,        ,        ,,,,,
            感染hpv高危阳性，高危的一般多久能转阴啊，平常需要注意些什么嘛？,,                        ,        ,        ,,,,,
"            HPV首先要注意饮食清淡，不要吃过于油腻的物，另外多吃些含维生素和高蛋白的食物，不要吃辛辣刺激的食物以及海鲜类食物。其次要多喝水，多排尿,多运动、增强体质，除此之外可以适当吃点硒片补充硒元素，提高免疫力，清除体内的hpv病毒",,,,,,,,,
            我婚前阳过，用了一个疗程的干扰素，转阴了，好几年没管。去年想着几年没复查，一复查又阳性了。又用了一个疗程干扰素，刚刚拿到报告转阴性的。反反复复，都不敢X生活了。,,                        ,        ,,,,,,
            干扰素有副作用的，我之前感染的时候医生给开的干扰素，没用几天就有副反应，停了一段时间的药她又个换的药,,                        ,        ,        ,,,,,
            这个要根据个人体质，我是用中草药提高人体免疫力治疗。,,                        ,        ,        ,,,,,
            首先要说下，HPV感染分两类：,一类是高危类易引起宫颈癌，但是一般病程都会比较长，不要过分担心。只有持续性感染才会引起癌变，那么这类人群需要提升自己的免疫力，控制好心态，可根据感染的实际情况针对性用药或选择观察随诊；,二类才是低危感染包括尖锐湿疣、皮肤疣等。,,,,,,,
            多久转阴要看你自己，每个人都不一样的。主要就是提高免疫力，提高免疫力对转阴有好处的,,                        ,        ,        ,,,,,
            关键提高免疫力的，我也转阴了，加油,,                        ,        ,        ,,,,,
            免疫力提高转阴也就4-6个月,,                        ,        ,        ,,,,,
            我也是高危的，差不多3个月左右就转阴了,,                        ,        ,        ,,,,,
            这个不好说具体的要看你自己，你做活检了吗,,                        ,        ,        ,,,,,
            Hp为v转阴，大多数在一个疗程三个月可以转阴的，有的是混合性感染，感染的亚型比较多的话，那么就要时间长一点，需要两个疗程，两个疗程的转阴率大概在97%。平时注意一个饮食心情，包括身体的锻炼，具体的可以咨询我。,,,,,,,,,
            您好，一定会转阴的，相信科学，我就是三个月转阴。,,                        ,        ,        ,,,,,
            我之前感染hpv的时候医生说提高免疫力，清除hpv病毒是促进转阴的最稳妥的办法，给开的高吉星富硒片，用的干扰素、我有尖锐湿疣所以还用了派特灵，还有一个洗的药，就这些，3个月多就转阴了,,                        ,,,,,,,
            HPV52阳性，今天做的活检，阴道镜检查非常不好，崩溃中，感觉活不下去了,,                        ,        ,        ,,,,,
            我68阳性，也是做的活检后ClN1.2级做的利普锥切，活检等待过程是煎熬的，你那心情我当时一样，先别想那么多，拿到结果该怎样怎样。,,                        ,        ,        ,,,,,
            不要害怕不要慌，等活检结果，我HPV39 52 56高危，活检出来是慢性宫颈炎。后来用了三支多干扰素然后一直没怎么管过了10个月复查就都转阴了。尽量在大医院看，我们这个小地方的医院说的吓死人，后来我拿着结果单直接去的协和，开了5支药才250块钱。,,,,,,,,,
            赶紧治疗吧，我好朋友也得过这病还低度病变了，后来她用了一个叫段芝堂hpv克星的治好了,,                        ,        ,        ,,,,,
            hpv感染，用半枝莲膏好，北京大学科研成果。中国人民保险担保,,                        ,        ,        ,,,,,
            至今为止，目前能灭杀HPV的只有人体的免疫系统。所以，说是诊治HPV，其实就是针对性的增强免疫力，服用欣维安姬松茸富硒蛋白，这样才能将免疫系统维持在最佳的水平上。,,                        ,        ,,,,,,
            等活检病理报告，假如有病变要做诊断性锥切,,                        ,        ,        ,,,,,
            HPV感染用半枝莲膏好，北京大学科研成果，中国人民保险公司担保,,                        ,        ,        ,,,,,
,,,,,,,,,
            我也是转化区3，是什么意思啊,,                        ,        ,        ,,,,,
            没事的，好好调理吧,,                        ,        ,        ,,,,,
            提高免疫力就可以好的,,                        ,        ,        ,,,,,
            千人康复交流群，高危女性进，男性广告不要进。,,,,,,,,,
            933988917,,                        ,        ,        ,,,,,
            ,,                        ,        ,        ,,,,,
            肯定不可能，免疫力好就不会感染了，我朋友得过这个病的，她是用了一个叫段芝堂的治好的,,                        ,        ,        ,,,,,
            不管高危的还是低危的，HPV没有特殊的治疗方法，只能提高免疫力，补充维生素和蛋白质，然后吃点欣维安姬松茸，清除体内的病毒。,,                        ,        ,        ,,,,,
            9价直打，hk直发，Michelleyoung168欢迎骚扰！,,                        ,        ,        ,,,,,
            我也52 已经做活检了,,                        ,        ,        ,,,,,
,,,,,,,,,
            可以好的，我之前感染了，一年后复查转阴了，没用药,,                        ,        ,        ,,,,,
            我也是52 跟66 医生给我开的凝胶500一盒，要用6盒，,,                        ,        ,        ,,,,,
            很少自愈。目前用半枝莲膏好,,                        ,        ,        ,,,,,
            可以！本来就没有口服液治疗病毒的。加V吧nxsh1314,,                        ,        ,        ,,,,,
            完全可以自愈，我就是有Hpv感染，Tct正常，规律作息，适当运动，提高免疫力，没用药，半年后复查转阴。Hpv没有特效药,,                        ,        ,        ,,,,,
            hpv目前没有特效药，可以通过不断增强自身勉励去抵制，坚持锻炼身体。你可以试试姬松茸富硒蛋白，之前有个认识的是阳性16，医生给开的转阴了,,                        ,        ,        ,,,,,
            我也是52，这个型号不好转。千万不要同房,,                        ,        ,        ,,,,,
            很难好，之前我隔了两年等Hpv自愈，后面还增加了一型。什么药都用了，凝胶，苦参，中药。都没有好 ,去年使用了一个医生推荐的干细胞外泌体。用了三个多月，三月份转阴了。可以看我的帖子。,,,,,,,,
            可以的🉑,,                        ,        ,        ,,,,,
            ,,                        ,        ,        ,,,,,
            加油,,                        ,        ,        ,,,,,
,,,,,,,,,
            亲能说一下食疗方法吗？我是HPv39,,                        ,        ,        ,,,,,
            可以的，私聊你了,,                        ,        ,        ,,,,,
            是真实案例还是帮别人卖药啊,,                        ,        ,        ,,,,,
            当然是真实案例，信不信都无所谓的！而且我不是吃药好的，hpv病毒根本没有特效药，我就只是通过食疗调理转阴。,,                        ,        ,        ,,,,,
            为什么要私信啊，说说怎么调理的啊,,                        ,        ,        ,,,,,
            能推荐下食疗吗,,                        ,        ,        ,,,,,
            可以推荐一下嘛？是哪种食疗呢？,,                        ,        ,        ,,,,,
            怎么食疗？,,                        ,        ,        ,,,,,
            亲爱的怎么食疗，也私聊我,,                        ,        ,        ,,,,,
            小姐姐，你怎么食疗的？,,                        ,        ,        ,,,,,
            能分享一下食疗方吗,,                        ,        ,        ,,,,,
            亲爱的怎么食疗，也私聊我,,                        ,        ,        ,,,,,
            亲私信我怎么食疗，多一种方法多一种尝试,,                        ,        ,        ,,,,,
            ,,,,,,,,,
            淘宝上卖的高吉星蛋白硒是真的吗？无效退款,,                        ,        ,        ,,,,,
            没有人在？,,                        ,        ,        ,,,,,
            不知道昵,,                        ,        ,        ,,,,,
            没有人在？,,                        ,        ,        ,,,,,
            没有人在？,,                        ,        ,        ,,,,,
            ,,,,,,,,,
            我不知道你说的那家店，我是在天猫买的，是真的。,,                        ,        ,        ,,,,,
            谢谢,,                        ,        ,        ,,,,,
            ,,,,,,,,,
            我吃过，转阴了，不过不只是吃了高吉星蛋白硒，还吃的有一些维生素，也用了一个月干扰素，,,                        ,        ,        ,,,,,
            ,,,,,,,,,
            有人吗,,                        ,        ,        ,,,,,
            请教！,最近阴道口联合处长了小揪 不疼不痒 就去了医院,医生说是尖锐湿疣 做了hpv,等了7天结果hpv只给查了高危型 没给查低危,,,,,,
            高危全阴 但有尖尖 是不是就说明低危有阳性的,,                        ,        ,        ,,,,,
            可验真 未拆封 成都的话可以面交,,,,,,,,,
            你咋不用呢,,                        ,        ,        ,,,,,
            留个联系方式,,                        ,        ,        ,,,,,
            冷刀报告结果：ECC：少量游离CINIII，宫颈锥切标本：CINIII，累及腺体，局部内切缘及基底切缘见病灶累及。（就这些字。）,通知切子宫~我才30岁,,                        ,        ,,,,,
            姐妹们，我创建了一个HPV感染交流群，主要是交流病毒感染后的应对方法和注意事项，群里有红房子妇科专家会定期为大家解答问题，进群不许打广告啊，qq群哈，也有微信群，但是为了防止有些人进去打广告，所有请先进qq群哈,,,,,,,,,
            男性得了HPV58，你们都是吃什么药的,,                        ,        ,        ,,,,,
            我是吃盐酸伐昔洛韦片，但是不知道我是抵抗力好还是什么原因,,                        ,        ,        ,,,,,
            男性怎么检查呀,,                        ,        ,        ,,,,,
            刷一下，在生殖系统,,                        ,        ,        ,,,,,
            我用的外用药，刚转阴，彻底解放了,,                        ,        ,        ,,,,,
            我还不知道有没有转阴，不过两个多月没长，不知道长不长,,                        ,        ,        ,,,,,
            兄弟你那地方长东西，我也长了，但是没查血,,                        ,        ,        ,,,,,
            我是没长，但是查出来58,,                        ,        ,        ,,,,,
            我没长东西,,                        ,        ,        ,,,,,
            同样想知道，男的怎么查,,                        ,        ,        ,,,,,
            nan男性查尿道，HPV感染用半枝莲膏好,,                        ,        ,        ,,,,,
            长出尖尖了吗？之前我们三甲医院的大夫建议我们去用的派特灵，效果还真好,,                        ,        ,        ,,,,,
            yong用半枝莲膏好。一周2次#月转阴,,                        ,        ,        ,,,,,
            hpv58是高危型号的，吃的药不管用的，我一个朋友就得过这个病的，他是用了一个叫段芝堂hpv克星的治好的，没复发,,                        ,        ,        ,,,,,
            hpv感染用半枝莲膏好，北京大学科研成果。一周2次3月转阴，中国人民保险公司担保,,                        ,        ,        ,,,,,
            请问在知苗易约上预约九价的时候要支付定金吗？还是预约成功后支付？,,                        ,        ,        ,,,,,
            你约上了吗？为什么我在这上面看的一直都是暂未开始,,                        ,        ,        ,,,,,
            由于白带发黄接触性出血，医生让做了hpv，在一个礼拜焦急的等待中，结果出来了，hpv 43阳性，有没有患过同样病的姐妹,,,,,,,,,
            我除了16 18都是阳性,,,,,,,,,
            我就是43，但是白带正常，tct轻微炎症，彩超正常。医生什么也没给我开，让我半年一年再复查，心情不好，成天怕长尖，还感冒了。医生说这个型号没什么事,,                        ,        ,        ,,,,,
            用了四天瑞贝生，小肚子不会痛了，白带依然很黄，好担心，不知道会不会长尖锐湿疣,,                        ,        ,        ,,,,,
            我有个群,,                        ,        ,        ,,,,,
            我的没出血，白带发黄,,                        ,        ,        ,,,,,
